allBanksEver1,allBanksEver2,allBanksEver3,allBanksEver4,allBanksEver5,allBanksEver6,allBanksEver7,allBanksEver8,allBanksEver9,allBanksEver10
3252,NaN,5410,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN ,GORDON,NE,69343,041,
3458,NaN,16103,FARMERS BANK OF GREEN CITY,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,041,
3506,NaN,20038,INTERCHANGE BANK,PARK 80 WEST/ PLAZA TWO ,SADDLE BROOK,NJ,07663,041,
3579,NaN,29884,CLASSIC BANK CORPORATION,344 17TH STREET ,ASHLAND,KY,41105,041,
3720,NaN,15671,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET ,MANNING,SC,29102,041,
3953,NaN,416,FIRST CAPITAL BANK,224 EAST OKLAHOMA ,GUTHRIE,OK,73044,041,
3971,NaN,28865,MIDCOUNTRY BANK,2611 BLUE HERON DRIVE ,MARION,IL,62959,041,
4138,NaN,4944,FIRST NATIONAL BANK OF LAFOLLETTE,101 WEST CENTRAL AVENUE ,LA FOLLETTE,TN,37766,041,
4147,NaN,15134,BANK OF VERONA,108 NORTH MAIN STREET PO BOX 930126,VERONA,WI,53593,041,
4156,NaN,13157,STATE BANK OF KINGMAN,151 NORTH MAIN ,KINGMAN,KS,67068,041,
4231,NaN,16440,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,041,
4437,NaN,6795,FIRST NATIONAL BANK,1 CEDAR STREET ,RONCEVERTE,WV,24970,041,
4745,NaN,13661,"WHAPLES AND FARMERS STATE BANK, THE",120 WEST COMMERCIAL STREET ,NEPONSET,IL,61345,041,
4839,NaN,11694,AUSTIN BANK OF CHICAGO,5645 WEST LAKE STREET ,CHICAGO,IL,60644,041,
5005,NaN,90286,STONEHAM SAVINGS BANK,359 MAIN STREET ,STONEHAM,MA,02180,041,
5050,NaN,13732,COMMERCIAL STATE BANK OF BONNER SPRINGS,309 OAK ,BONNER SPRINGS,KS,66012,041,
5069,NaN,24332,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,LOS ANGELES,CA,90069,041,
5135,NaN,15496,FIRST STATE BANK OF BLAKELY,218 S. MAIN STREET ,BLAKELY,GA,31723,041,
5210,NaN,7506,ADAMS COUNTY NATIONAL BANK,675 OLD HARRISBURG ROAD ,GETTYSBURG,PA,17325,041,
5247,NaN,10451,NLSB,110 WEST MAPLE STREET PO BOX 339,NEW LENOX,IL,60451,041,
5274,NaN,30282,"CLOVER LEAF BANK, S.B.",200 EAST PARK STREET ,EDWARDSVILLE,IL,62025,041,
5331,NaN,10448,HYDE PARK BANK & TRUST COMPANY,1525 EAST 53RD STREET ,CHICAGO,IL,60615,041,
5452,NaN,14728,M&I CITIZENS AMERICAN BANK,900 EAST MAIN STREET ,MERRILL,WI,54452,041,
5461,NaN,19434,BANK OF AGRICULTURE AND COMMERCE,340 EAST MAIN STREET ,STOCKTON,CA,95202,041,
5751,NaN,15194,KEARNY COUNTY BANK,221 NORTH MAIN ,LAKIN,KS,67860,041,
5939,NaN,21350,REPUBLIC BANK,111 SECOND AVENUE NORTHEAST ,SAINT PETERSBURG,FL,33701,041,
6039,NaN,15699,ALMA EXCHANGE BANK & TRUST,104 NORTH DIXON ,ALMA,GA,31510,041,
6057,NaN,1651,FARMERS AND MERCHANTS BANK,201 MAIN STREET ,HALE,MO,64643,041,
6141,NaN,16567,TALLAHATCHIE COUNTY BANK,1 EAST MAIN STREET ,CHARLESTON,MS,38921,041,
6329,NaN,9923,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574,041,
6842,NaN,11675,FIRST STATE BANK OF NEWMAN,511 SOUTH BROADWAY ,NEWMAN,IL,61942,041,
6972,NaN,1500,FIRST INDEPENDENT BANK,"1220 MAIN STREET, SUITE 500 ",VANCOUVER,WA,98668,041,
7009,NaN,20015,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,070951191,041,
7045,NaN,5779,"PEOPLES BANK, THE",100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220,041,
7072,NaN,28870,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589,041,
7157,NaN,15057,STATE BANK OF BLUE RAPIDS,21 PUBLIC SQUARE ,BLUE RAPIDS,KS,66411,041,
7166,NaN,24903,WESTERN SIERRA NATIONAL BANK,3350 COUNTRY CLUB DRIVE ,CAMERON PARK,CA,95682,041,
7456,NaN,13962,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739,041,
7634,NaN,15904,"FOUR COUNTY BANK, THE",MAIN STREET ,ALLENTOWN,GA,31003,041,
8033,NaN,23090,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,107 E MAIN ST ,NEW ROADS,LA,70760,041,
8154,NaN,1628,CITIZENS BANK OF PRINCETON,U.S. HIGHWAYS 65 & 136 ,PRINCETON,MO,64673,041,
8417,NaN,21377,"BANK ONE TRUST COMPANY, NATIONAL ASSOCIATION",235 WEST SCHROCK RD. ,COLUMBUS,OH,432710393,041,
8462,NaN,3388,"PERRYTON NATIONAL BANK, THE",825 S. MAIN STREET ,PERRYTON,TX,790703556,041,
8547,NaN,9088,PEOPLES BANK AND TRUST COMPANY,HIGHWAY 101 NORTH ,SUNMAN,IN,47041,041,
8631,NaN,847,"PLEASANTS COUNTY BANK, THE",323 SECOND ST ,SAINT MARYS,WV,26170,041,
8855,NaN,24055,RESOURCE TRUST COMPANY,1400 PEAVEY BUILDING 730 SECOND AVENUE SOUTH,MINNEAPOLIS,MN,55402,041,
9115,NaN,21002,COMMERCE BANK/SHORE NATIONAL ASSOCIATION,106 NORTH MAIN STREET ,FORKED RIVER,NJ,08731,041,
9160,NaN,23579,CENTRAL SIERRA BANK,373 WEST ST. CHARLES STREET ,SAN ANDREAS,CA,95249,041,
9339,NaN,26733,PEOPLES BANK OF FANNIN COUNTY,4000 APPALACHIAN HIGHWAY ,BLUE RIDGE,GA,30513,041,
9357,NaN,20268,FIDELITY BANK,7600 PARKLAWN AVE. ,EDINA,MN,55435,041,
9553,NaN,14311,ADAMS COUNTY BANK,109 NORTH SMITH AVENUE ,KENESAW,NE,68956,041,
9807,NaN,6423,AMBOY NATIONAL BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,08857,041,
9955,NaN,15899,"FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE",116 WEST 6TH ,LARNED,KS,67550,041,
10157,NaN,4709,FIRST NATIONAL BANK & TRUST CO. IN LARNED,102 WEST 6TH STREET ,LARNED,KS,67550,041,
10250,NaN,1607,"BANK OF ELK RIVER, THE",630 MAIN ST. ,ELK RIVER,MN,55330,041,
10577,NaN,18777,PACIFIC STATE BANK,1975 WINCHESTER AVENUE ,REEDSPORT,OR,97467,041,
10849,NaN,15050,FIRST STATE BANK,101 SOUTH CENTER STREET P. O. BOX 320,LONOKE,AR,72086,041,
10858,NaN,16112,PLATTE VALLEY STATE BANK AND TRUST COMPANY,2223 SECOND AVENUE ,KEARNEY,NE,68847,041,
11145,NaN,8172,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE PO BOX DRAWER A,BALDWIN,MI,49304,041,
11275,NaN,30284,PULASKI BANK,12300 OLIVE BOULEVARD ,CREVE COEUR,MO,63141,041,
11350,NaN,5423,"AMERICAN NATIONAL BANK OF KIMBALL, THE",201 SOUTH CHESTNUT ,KIMBALL,NE,69145,041,
11640,NaN,19070,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614,041,
11837,NaN,5709,"FARMERS BANK, THE",710 SIBLEY AVENUE ,UNION POINT,GA,30669,041,
12030,NaN,17011,FIRST NATIONAL BANK SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510,041,
12058,NaN,8297,BANK OF HOLDEN,123 WEST 2ND STREET ,HOLDEN,MO,64040,041,
12142,NaN,12201,"CLEVELAND STATE BANK, THE",110 COMMERCE AVENUE ,CLEVELAND,MS,38732,041,
12179,NaN,29899,AMERICAN SAVINGS BANK,701 NORTH UNIVERSITY BOULEVARD ,MIDDLETOWN,OH,45042,041,
12245,NaN,15093,BANK NORTH,606 HENRIETTE AVENUE ,CRIVITZ,WI,54114,041,
12311,NaN,6560,"HUNTINGTON NATIONAL BANK, THE",17 S HIGH ST ,COLUMBUS,OH,43215,031,
12357,NaN,10199,ELLSWORTH STATE BANK,MAIN ST. ,ELLSWORTH,MN,56129,041,
12405,NaN,6984,"CENTRAL NATIONAL BANK, CANAJOHARIE",24 CHURCH STREET ,CANAJOHARIE,NY,13317,041,
12647,NaN,10012,PORTAGE COUNTY BANK,1155 COUNTY ROAD D ,ALMOND,WI,549099777,041,
12656,NaN,14944,STATE BANK OF BURDEN,333 MAIN ,BURDEN,KS,67019,041,
12937,NaN,20226,OAK BANK,1000 NORTH RUSH STREET P O BOX 11002,CHICAGO,IL,606111208,041,
12946,NaN,1291,FARMERS BANK & TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753,041,
12955,NaN,21704,BANK OF NEBRASKA,7223 SOUTH 84TH STREET ,LA VISTA,NE,68128,041,
13037,NaN,848,TRADERS BANK,303 MAIN & MARKET STREET ,SPENCER,WV,25276,041,
13103,NaN,23622,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,02780,041,
13251,NaN,10185,ELYSIAN BANK,121 MAIN ST. ,ELYSIAN,MN,56028,041,
13309,NaN,15957,BSB BANK & TRUST COMPANY,58-68 EXCHANGE STREET ,BINGHAMTON,NY,13901,041,
13457,NaN,5425,FIRST NATIONAL BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147,041,
14052,NaN,9042,LINCOLN COUNTY BANK,403 WEST MAIN ,MERRILL,WI,54452,041,
14155,NaN,9378,FARMERS AND COMMERCIAL BANK,124 WEST 2ND STREET ,HOLDEN,MO,64040,041,
14258,NaN,520,"JACKSON STATE BANK, THE",112 CENTER STREET ,JACKSON,WY,83001,041,
14409,NaN,18562,CITIZENS BANK OF MASSACHUSETTS,28 STATE STREET ,BOSTON,MA,02110,031,
14454,NaN,8186,"STEARNS BANK OF EVANSVILLE, NATIONAL ASSOCIATION",303 KRON STREET ,EVANSVILLE,MN,56326,041,
14650,NaN,16795,BANK OF LOCUST GROVE,123 EAST MAIN STREET PO BOX 219,LOCUST GROVE,OK,74352,041,
14753,NaN,18101,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",111 NORTH MAIN ,BUCKLIN,KS,67834,041,
14865,NaN,16243,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97812,041,
14931,NaN,26873,FIRST WESTERN BANK,5854 SOUTH FLAMINGO ROAD ,COOPER CITY,FL,33330,041,
14940,NaN,20807,HARRIS BANK OAKBROOK TERRACE,17 WEST 695 ROOSEVELT ROAD ,OAKBROOK TERRACE,IL,60181,041,
14977,NaN,30291,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339,041,
15536,NaN,11677,PULLMAN BANK AND TRUST COMPANY,1000 EAST 111TH STREET ,CHICAGO,IL,60628,041,
15732,NaN,25847,FIRST COLONY BANK,300 S.MAIN STREET ,ALPHARETTA,GA,30201,041,
16337,NaN,21777,WAKULLA BANK,2932 CRAWFORDVILLE HIGHWAY ,CRAWFORDVILLE,FL,32327,041,
16355,NaN,23277,"BANK OF LARAMIE, NATIONAL ASSOCIATION",3908 GRAND AVENUE ,LARAMIE,WY,82070,041,
16458,NaN,17105,DOUGLAS COUNTY BANK,9TH AND KENTUCKY ,LAWRENCE,KS,66044,041,
16551,NaN,10956,FIRST STATE BANK OF FINLAYSON,2203 FINLAND AVENUE ,FINLAYSON,MN,55735,041,
16748,NaN,13104,"ELBERFELD STATE BANK, THE",55 MAIN STREET ,ELBERFELD,IN,47613,041,
16766,NaN,23543,PENINSULA BANK OF COMMERCE,1001 BROADWAY ,MILLBRAE,CA,94030,041,
16944,NaN,11404,"WEST MICHIGAN SAVINGS BANK, THE",232 WEST MONROE ,BANGOR,MI,49013,041,
16953,NaN,10186,FIRST STATE BANK OF FERTILE,114 MILL ST. N. ,FERTILE,MN,56540,041,
17110,NaN,26189,"RITTENHOUSE TRUST COMPANY, THE",3 RADNOR CORPORATE CENTER SUITE 450 ,RADNOR,PA,190874546,041,
17147,NaN,4365,"FIRST MERCHANTS BANK, NATIONAL ASSOCIATION",200 EAST JACKSON P O BOX 792,MUNCIE,IN,47305,041,
17259,NaN,26260,"FIRST NATIONAL BANK IN MARLOW, THE",301 WEST MAIN STREET ,MARLOW,OK,73055,041,
17464,NaN,22407,BANK OF THE CASCADES,1100 NORTHWEST WALL STREET ,BEND,OR,97701,041,
17549,NaN,1801,FIRST BANK OF OAK PARK,11 WEST MADISON ,OAK PARK,IL,60302,041,
17642,NaN,15653,BANK OF MANSFIELD,101 SEBASCOTT ,MANSFIELD,AR,72944,041,
17839,NaN,21803,SUMTER BANK AND TRUST COMPANY,201 E LAMAR ST ,AMERICUS,GA,31709,041,
17950,NaN,2224,"BANK OF LOVELL, NATIONAL ASSOCIATION",179 EAST THIRD STREET ,LOVELL,WY,82431,041,
17978,NaN,29904,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326,041,
18050,NaN,3091,"FIRST NATIONAL BANK OF BASTROP, THE",1028 MAIN STREET ,BASTROP,TX,786023217,041,
18078,NaN,30297,"ENCORE BANK, NATIONAL ASSOCIATION",10600 TAMIAMI TRAIL NORTH SUITE 604,NAPLES,FL,34108,041,
18126,NaN,19104,THREE RIVERS BANK AND TRUST COMPANY,ROUTE 51SOUTH ,JEFFERSON,PA,15025,041,
18135,NaN,19536,SOUTH CENTRAL BANK AND TRUST COMPANY OF CHICAGO,525 WEST ROOSEVELT ROAD ,CHICAGO,IL,60607,041,
18368,NaN,23273,BANK OF WALNUT CREEK,1400 CIVIC DRIVE ,WALNUT CREEK,CA,945964127,041,
18377,NaN,34440,BALLY SAVINGS BANK,323 MAIN STREET ,BALLY,PA,19503,041,
18827,NaN,7900,"MERCHANTS NATIONAL BANK OF KITTANNING, THE",222 MARKET STREET ,KITTANNING,PA,16201,041,
18836,NaN,9998,CAPON VALLEY BANK,MAIN ST BOX 119 ,WARDENSVILLE,WV,26851,041,
18854,NaN,4147,"FIRST NATIONAL BANK OF MEDFORD, THE",120 NORTH FIRST STREET ,MEDFORD,OK,73759,041,
18863,NaN,25070,BUSINESS BANK OF CALIFORNIA,505 WEST 2ND STREET ,SAN BERNARDINO,CA,92401,041,
18957,NaN,15794,"FIRST STATE BANK OF BURLINGAME, THE",115 SOUTH TOPEKA AVENUE ,BURLINGAME,KS,66413,041,
19356,NaN,9881,SECURITY BANK AND TRUST COMPANY,"SECURITY PLAZA, 2 SOUTH MAIN ST. ",MIAMI,OK,74354,041,
19730,NaN,16606,STANDARD BANK AND TRUST COMPANY,7800 WEST 95TH STREET ,HICKORY HILLS,IL,60457,041,
19936,NaN,15477,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709,041,
19972,NaN,34711,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074,041,
20053,NaN,10015,SECURITY BANK,112 MAIN ST. ,NEW AUBURN,WI,54757,041,
20147,NaN,10484,FARMERS STATE BANK,STATE AND MAIN STREETS P O BOX 188,NEW ROSS,IN,47968,041,
20259,NaN,18747,FIRST NATIONAL BANK OF PINEDALE,61 EAST PINE STREET ,PINEDALE,WY,82941,041,
20370,NaN,23626,FIRST HERITAGE BANK,167 LINCOLN AVENUE ,SNOHOMISH,WA,98290,041,
20512,NaN,7704,FIRST NATIONAL BANK OF PORT ALLEGANY,64 MAIN ST ,PORT ALLEGANY,PA,16743,041,
20633,NaN,6803,MCDOWELL COUNTY NATIONAL BANK IN WELCH,75 WYOMING ST ,WELCH,WV,24801,041,
20754,NaN,12690,STATE BANK OF COLONY,207 EAST BROAD STREET ,COLONY,KS,66015,041,
20839,NaN,19653,COLONY BANK SOUTHEAST,103 ALABAMA STREET ,BROXTON,GA,31519,041,
20857,NaN,10998,GRANITE FALLS BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241,041,
20866,NaN,23181,HOME VALLEY BANK,110 SOUTHWEST 4TH STREET ,GRANTS PASS,OR,97526,041,
21256,NaN,16583,STATE BANK OF BURRTON,200 NORTH BURRTON ,BURRTON,KS,67020,041,
21359,NaN,22263,AMERICAN STATE BANK OF GRYGLA,STATE & MAIN STS. ,GRYGLA,MN,56727,041,
21630,NaN,20041,TECHE BANK & TRUST COMPANY,200 WEST PORT STREET ,SAINT MARTINVILLE,LA,70582,041,
21658,NaN,12511,BANK OF MONDOVI,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755,041,
22048,NaN,1753,UNION BANK & TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655,041,
22235,NaN,8023,COLONY BANK ASHBURN,500 E WASHINGTON AVE ,ASHBURN,GA,31714,041,
22356,NaN,2226,FIRST NATIONAL BANK AND TRUST COMPANY,245 EAST FIRST STREET ,POWELL,WY,82435,041,
22459,NaN,4712,FIRST NATIONAL BANK AND TRUST COMPANY OF LEAVENWORTH,630 DELAWARE ,LEAVENWORTH,KS,66048,041,
22543,NaN,8162,"STATE SAVINGS BANK OF FRANKFORT, MICH.",703 MAIN STREET ,FRANKFORT,MI,49635,041,
22552,NaN,10576,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939,041,
22730,NaN,2452,WEST UNION BANK,101 E MAIN STREET ,WEST UNION,WV,26456,041,
22860,NaN,22314,"NEXTBANK, NATIONAL ASSOCIATION",4127 EAST VAN BUREN STREET ,PHOENIX,AZ,850086911,041,
22936,NaN,16673,FARMERS & MERCHANTS BANK,201 NORTH MAIN STREET ,STATESBORO,GA,30458,041,
22954,NaN,5161,FIRST NATIONAL BANK,1018 HOBART STREET ,HAWLEY,MN,56549,041,
23036,NaN,25804,CB&T BANK OF MIDDLE GEORGIA,1444 WATSON BLVD ,WARNER ROBINS,GA,31099,041,
23045,NaN,24471,WEST MICHIGAN NATIONAL BANK & TRUST,501 MAIN STREET PO BOX 1009,FRANKFORT,MI,496351009,041,
23241,NaN,4392,INTEGRA BANK NATIONAL ASSOCIATION,21 SOUTHEAST THIRD STREET ,EVANSVILLE,IN,47701,041,
23344,NaN,14064,"FIRST NATIONAL BANK AND TRUST COMPANY OF BARABOO, THE",502 OAK STREET ,BARABOO,WI,53913,041,
23456,NaN,5162,"FIRST NATIONAL BANK OF HENNING, THE",512 DOUGLAS AVE. ,HENNING,MN,56551,041,
23504,NaN,6976,"BRIDGEHAMPTON NATIONAL BANK, THE",2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932,041,
23540,NaN,17899,OSWEGO COMMUNITY BANK,10 NORTH MADISON ,OSWEGO,IL,60543,041,
23643,NaN,90,COMMERCIAL BANK & TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655,041,
23755,NaN,5357,"FIRST NATIONAL BANK OF NEW RICHMOND, THE",109 EAST SECOND STREET ,NEW RICHMOND,WI,54017,041,
23812,NaN,7802,FIRST NATIONAL BANK OF CHESTER COUNTY,9 NORTH HIGH ST ,WEST CHESTER,PA,19380,041,
24006,NaN,15995,PUTNAM COUNTY SAVINGS BANK,DREWVILLE ROAD AND CARMEL AVENUE ,BREWSTER,NY,10509,041,
24266,NaN,18396,MID-STATE BANK,1026 GRAND AVENUE ,ARROYO GRANDE,CA,93420,041,
24378,NaN,32307,"GALION BUILDING AND LOAN BANK, THE",135 S MARKET STREET ,GALION,OH,44833,041,
24453,NaN,24334,AMERICAN NATIONAL BANK OF ROCK SPRINGS,2515 FOOTHILL BOULEVARD ,ROCK SPRINGS,WY,82901,041,
24659,NaN,10178,PRODUCE STATE BANK,109 PARK AVENUE ,HOLLANDALE,MN,56045,041,
24668,NaN,3402,"FIRST NATIONAL BANK OF QUITMAN, THE",412 E GOODE ST ,QUITMAN,TX,757831544,041,
24855,NaN,4155,"FIRST NATIONAL BANK OF NASH, THE",107 SOUTH MAIN STREET ,NASH,OK,73761,041,
24949,NaN,12788,"BARABOO NATIONAL BANK, THE",101 THIRD AVENUE PO BOX 50,BARABOO,WI,53913,041,
25357,NaN,20093,ALL AMERICA BANK,7000 WEST RENO ,OKLAHOMA CITY,OK,73101,041,
25450,NaN,18914,"BANK ONE, COLORADO, NATIONAL ASSOCIATION",1125 17TH STREET ,DENVER,CO,80202,041,
25647,NaN,22536,FAMILY BANK AND TRUST COMPANY,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465,041,
25852,NaN,14800,S&C BANK,355 S. KNOWLES AVE. ,NEW RICHMOND,WI,54017,041,
26149,NaN,12103,PALMER STATE BANK,620 NORTH WEBSTER P O BOX 768,TAYLORVILLE,IL,62556,041,
26176,NaN,30306,"BROADWAY FEDERAL BANK, F.S.B.",4800 WILSHIRE BOULEVARD ,LOS ANGELES,CA,90010,041,
26233,NaN,3634,FIRST NATIONAL BANK,101 DIXIE HIGHWAY PO BOX 550,CHICAGO HEIGHTS,IL,60411,041,
26242,NaN,18979,FIRST NATIONAL BANK AND TRUST COMPANY OF MOUNTAIN HOME,502 HICKORY STREET ,MOUNTAIN HOME,AR,72653,041,
26457,NaN,16423,LA MONTE COMMUNITY BANK,201 EAST HIGHWAY 50 ,LA MONTE,MO,65337,041,
26756,NaN,10563,JASPER STATE BANK,121 W. WALL ST. ,JASPER,MN,56144,041,
26765,NaN,3405,"FIRST NATIONAL BANK OF REFUGIO, THE",111 EAST PLASUELA ,REFUGIO,TX,78377,041,
26859,NaN,17325,OMNIBANK NATIONAL ASSOCIATION,4328 OLD SPANISH TRAIL ,HOUSTON,TX,77021,041,
26916,NaN,22837,DELAWARE NATIONAL BANK,ROUTE 113 & EDWARDS STREET ,GEORGETOWN,DE,19947,041,
27070,NaN,29294,TIME FEDERAL SAVINGS BANK,675 EAST BROADWAY PO BOX 239,MEDFORD,WI,54451,041,
27548,NaN,14078,BLACKHAWK STATE BANK,400 BROAD STREET P O BOX 719,BELOIT,WI,53511,041,
27614,NaN,10663,"ANDOVER BANK, THE",PUBLIC SQUARE ,ANDOVER,OH,440030519,041,
27838,NaN,17917,HERITAGE BANK,195 WEST JOE ORR ROAD ,CHICAGO HEIGHTS,IL,60411,041,
27847,NaN,1527,DIAMOND STATE BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958,041,
28013,NaN,28710,NORTHFIELD SAVINGS BANK,1731 VICTORY BLVD ,STATEN ISLAND,NY,10314,041,
28152,NaN,11415,STATE BANK OF KIMBALL,HWY 15 ,KIMBALL,MN,55353,041,
28255,NaN,3095,"FIRST NATIONAL BANK OF BEEVILLE, THE",1400 E HOUSTON ST ,BEEVILLE,TX,781040160,041,
28349,NaN,91,BANK OF MULBERRY,311 MAIN STREET ,MULBERRY,AR,72947,041,
28406,NaN,90160,HYDE PARK SAVINGS BANK,1196 RIVER STREET ,BOSTON,MA,02136,041,
28572,NaN,32284,"COLUMBIA SAVINGS BANK, THE",411 LUDLOW AVENUE ,CINCINNATI,OH,45220,041,
28675,NaN,29293,"CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK",1390 SECOND AVE. ,CUMBERLAND,WI,54829,041,
28732,NaN,1475,PEOPLES BANK & TRUST COMPANY,117 WEST MAIN STREET ,MANCHESTER,TN,37355,041,
29104,NaN,6431,UNION CENTER NATIONAL BANK,2455 MORRIS AVENUE ,UNION,NJ,07083,041,
29159,NaN,522,UNION STATE BANK,612 PINE STREET ,UPTON,WY,82730,041,
29252,NaN,4713,"MIDAMERICAN BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",401 DELAWARE ,LEAVENWORTH,KS,66048,041,
29476,NaN,31711,CORNING SAVINGS AND LOAN ASSOCIATION,520 SOUTHWEST SECOND STREET ,CORNING,AR,72422,041,
29636,NaN,12204,"CITIZENS BANK OF PHILADELPHIA, THE",521 EAST MAIN STREET ,PHILADELPHIA,MS,39350,041,
29850,NaN,3100,FIRST TEXAS BANK,300 E 1ST ,BELTON,TX,76513,041,
